,full_name,html_url,labels
0,FunTimeCoding/go-library,https://github.com/FunTimeCoding/go-library,"{'OpenAI': ['pkg/generative/openai/client.go', 'pkg/generative/openai/new.go', 'pkg/generative/openai/example/official.go'], 'Anthropic': ['pkg/generative/anthropic/example/official.go'], 'Go-anthropic': ['pkg/generative/anthropic/example/alternate.go'], 'Mistral': ['pkg/generative/mistral/new.go', 'pkg/generative/mistral/client.go']}"
1,KooshaPari/BytePort,https://github.com/KooshaPari/BytePort,"{'OpenAI': ['.history/backend/nvms/Demonstrator/generation_20241223170341.go', '.history/backend/nvms/Demonstrator/generation_20241223170449.go', '.history/backend/nvms/Demonstrator/generation_20241223171620.go', '.history/backend/nvms/Demonstrator/generation_20241223170432.go', '.history/backend/nvms/Demonstrator/generation_20241223170425.go', '.history/backend/nvms/Demonstrator/generation_20241223170404.go', '.history/backend/nvms/Demonstrator/generation_20241223171526.go', '.history/backend/nvms/Demonstrator/generation_20241223170419.go', '.history/backend/nvms/Demonstrator/generation_20241223170447.go', '.history/backend/nvms/Demonstrator/generation_20241223171505.go', '.history/backend/nvms/Demonstrator/generation_20241223170442.go', '.history/backend/nvms/Demonstrator/generation_20241223170411.go', '.history/backend/nvms/Demonstrator/generation_20241223170418.go', '.history/backend/nvms/Demonstrator/generation_20241223172403.go', '.history/backend/nvms/Demonstrator/generation_20241223170402.go', '.history/backend/nvms/Demonstrator/generation_20241223170734.go', '.history/backend/nvms/Demonstrator/generation_20241223170452.go', '.history/backend/nvms/Demonstrator/generation_20241223170359.go', '.history/backend/nvms/Demonstrator/generation_20241223171754.go', '.history/backend/nvms/Demonstrator/generation_20241223170455.go']}"
2,Kava-Labs/oros,https://github.com/Kava-Labs/oros,"{'OpenAI': ['api/internal/types/error.go', 'api/internal/handlers/models.go', 'api/internal/middleware/model_allowlist_test.go', 'api/internal/middleware/model_extract.go', 'api/internal/middleware/model_allowlist.go']}"
3,vinibgoulart/gitbook-rag,https://github.com/vinibgoulart/gitbook-rag,"{'OpenAI': ['packages/openai/get_embedding.go', 'packages/openai/client.go', 'packages/page/get_response_embedding_query.go', 'packages/openai/generate_completion.go']}"
4,thunderjr/deez-utils,https://github.com/thunderjr/deez-utils,"{'OpenAI': ['pkg/tool/factory.go', 'pkg/tool/tool.go', 'example.go', 'pkg/tool/gateway.go']}"
5,HiteshRepo/ai-practice-projects,https://github.com/HiteshRepo/ai-practice-projects,"{'OpenAI': ['bill-price-calculator/openai/client.go', 'assistant/openai/assistant.go', 'vector-embeddings/openai/client.go', 'assistant/openai/thread.go', 'multimodality/openai/imageedit.go', 'content-moderator/openai/client.go', 'content-moderator/main.go', 'pollyglot/openai/client.go', 'movie-chatbot/openai/client.go', 'reAct/versions/v2.go', 'film-fusion/openai/client.go', 'stock-price-predictor/openai/client.go', 'multimodality/openai/client.go', 'reAct/openai/client.go', 'reAct/versions/v1.go', 'assistant/main.go', 'film-fusion/main.go', 'reAct/versions/v3.go', 'multimodality/openai/imagegen.go', 'motivational-speaker/main.go', 'multimodality/openai/imagevision.go', 'assistant/openai/client.go', 'pop-choice/openai/client.go', 'reAct/tools/tools.go', 'bill-price-calculator/main.go', 'pollyglot/main.go', 'image-generator/openai/client.go', 'image-generator/main.go', 'assistant/openai/vectorstore.go', 'assistant/openai/file.go']}"
6,bsthun/satang,https://github.com/bsthun/satang,"{'OpenAI': ['backend/common/openai/openai.go', 'backend/procedure/openai/service.go']}"
7,emoss08/Trenova,https://github.com/emoss08/Trenova,"{'OpenAI': ['services/tms/pkg/ai/openai.go', 'services/tms/internal/core/domain/ailog/enums.go', 'services/tms/internal/core/services/classification/types.go']}"
8,rishikeshydv/rescue.ai,https://github.com/rishikeshydv/rescue.ai,{'OpenAI': ['backend/controllers/voice2text.go']}
9,calamity-m/reaphur,https://github.com/calamity-m/reaphur,"{'OpenAI': ['central/internal/parser/openai.go', 'central/internal/fncall/params.go', 'central/internal/util/openai.go']}"
10,tencent-lke/lke-sdk-go,https://github.com/tencent-lke/lke-sdk-go,"{'OpenAI': ['event/reply.go', 'model/agent_tool.go', 'tool/helper.go']}"
11,KennyKeni/elysia,https://github.com/KennyKeni/elysia,"{'OpenAI': ['adapter/openai/validation_test.go', 'adapter/openai/response.go', 'adapter/openai/stream.go', 'adapter/openai/validation.go', 'adapter/openai/request.go', 'adapter/openai/tool.go', 'adapter/openai/stream_test.go', 'adapter/openai/adapter.go']}"
12,mhrlife/goai-kit,https://github.com/mhrlife/goai-kit,"{'OpenAI': ['task_test.go', 'task.go', 'hook.go', 'middleware.go', 'client.go']}"
13,insomnius/agent,https://github.com/insomnius/agent,"{'OpenAI': ['llm/deepseek.go', 'llm/openai.go']}"
14,zuni-lab/dexon-service,https://github.com/zuni-lab/dexon-service,"{'OpenAI': ['pkg/openai/streaming.go', 'internal/chat/services/get.go', 'pkg/openai/thread.go', 'pkg/openai/init.go']}"
15,panrosk/acai_travel,https://github.com/panrosk/acai_travel,"{'OpenAI': ['internal/chat/adapters/llm/helper.go', 'internal/chat/config/openai_client.go', 'internal/chat/adapters/llm/openai.go']}"
16,404uam/deepseekChat,https://github.com/404uam/deepseekChat,"{'OpenAI': ['app/gui/ChatGPTWidget.go', 'app/gui/DeepseekWidget.go', 'app/gui/assistantWidget.go', 'app/gui/aiWidget.go']}"
17,NolanTrem/PumpkinSpice,https://github.com/NolanTrem/PumpkinSpice,"{'OpenAI': ['internal/llm/openai/client.go', 'internal/llm/openai/chat.go']}"
18,pclubiitk/compass,https://github.com/pclubiitk/compass,"{'OpenAI': ['server/connections/AI.go', 'server/workers/moderator.helper.go']}"
19,fred-yan/flychat,https://github.com/fred-yan/flychat,{'OpenAI': ['platform/llm.go']}
20,bsthun/CSWorkshop,https://github.com/bsthun/CSWorkshop,"{'OpenAI': ['sql-grader2/backend/procedure/submission/service.go', 'sql-grader2/backend/common/openai/openai.go', 'sql-grader2/backend/procedure/submission/serve_check_prompt.go']}"
21,Guilherme-Matosoli/Reffactor,https://github.com/Guilherme-Matosoli/Reffactor,{'OpenAI': ['internal/utils/verifyKey.go']}
22,jevvonn/batikin-be,https://github.com/jevvonn/batikin-be,"{'OpenAI': ['internal/infra/openai-sdk/openai.go', 'internal/app/product/usecase/product.go']}"
23,akazwz/openchat-go,https://github.com/akazwz/openchat-go,"{'OpenAI': ['dto/chat.go', 'api/chat.go', 'lib/lib.go']}"
