,fullname,html_url,tags
0,vidvancheripalli-ui/ai-tutor-backend-main,https://github.com/vidvancheripalli-ui/ai-tutor-backend-main,['Google_gemini-2.5-flash']
1,calixtollucas/screenmatch-webless,https://github.com/calixtollucas/screenmatch-webless,['Google_gemini-2.0-flash']
2,alexandruborcan/discordBot,https://github.com/alexandruborcan/discordBot,['OpenAI_deepseek-chat']
3,tundoumoi/shop,https://github.com/tundoumoi/shop,['Google_gemini-2.5-flash']
4,rafkiyuda/chatcalc-ai,https://github.com/rafkiyuda/chatcalc-ai,['Google_gemini-2.0-flash-exp']
5,TikiTaka-TeamProject/BapZip,https://github.com/TikiTaka-TeamProject/BapZip,['Google_gemini-2.5-flash']
6,Manthan0304/Nirogya,https://github.com/Manthan0304/Nirogya,['Google_gemini-2.0-flash']
7,gchavess/ziro-backend,https://github.com/gchavess/ziro-backend,['Google_gemini-2.5-flash']
8,GitQunA1/Backend_PhyGen,https://github.com/GitQunA1/Backend_PhyGen,"['Google', 'mistral-ocr-latest']"
9,phuquy-28/clothing-store-spring,https://github.com/phuquy-28/clothing-store-spring,['OpenAI_text-embedding-3-small']
10,henriquepierandrei/SimulaProva,https://github.com/henriquepierandrei/SimulaProva,['Google_gemini-2.5-flash-preview-05-20']
11,dogukan-polat/telemedicine,https://github.com/dogukan-polat/telemedicine,['Google_gemini-2.5-flash']
12,rianfernandesno/Discord-bot-,https://github.com/rianfernandesno/Discord-bot-,['Google_gemini-2.0-flash-001']
13,owlost/graduation-project-strayanimal,https://github.com/owlost/graduation-project-strayanimal,['Google_gemini-2.0-flash']
14,nvp85/web-ai-chat-full-stack,https://github.com/nvp85/web-ai-chat-full-stack,['Google_gemini-2.0-flash-001']
15,Vixxxz/e-commerce,https://github.com/Vixxxz/e-commerce,['Google_gemini-2.0-flash']
16,Rakesh-Kumar-S-2005/CopFriendlyApp,https://github.com/Rakesh-Kumar-S-2005/CopFriendlyApp,"['Google', 'gemini-2.5-flash']"
17,FelipeSpinola008/ScreenMatch-Spring-JPA,https://github.com/FelipeSpinola008/ScreenMatch-Spring-JPA,['Google_gemini-2.0-flash-lite']
18,Dagyss/PGAD-SIP,https://github.com/Dagyss/PGAD-SIP,['Google_gemini-2.0-flash-001']
19,kyn-317/qna,https://github.com/kyn-317/qna,['Google_gemma-3n-e4b-it']
20,shuzim/FitnessLifeWeb,https://github.com/shuzim/FitnessLifeWeb,['Google_gemini-2.0-flash']
21,tecflow/java-backend-CRUD-app,https://github.com/tecflow/java-backend-CRUD-app,['Google_gemini-2.0-flash-001']
22,jshjshjshjsh/pond_back,https://github.com/jshjshjshjsh/pond_back,['Google_gemini-2.5-flash']
23,lehuuhau1231/TechJobs,https://github.com/lehuuhau1231/TechJobs,['Google_gemini-2.5-flash']
24,kmr-ankitt/quizer,https://github.com/kmr-ankitt/quizer,['Google_gemini-2.0-flash-001']
25,nicolagramegna/mcp-java,https://github.com/nicolagramegna/mcp-java,['Google_gemini-2.5-flash']
26,RingkhangBTY/QuizMindWeb,https://github.com/RingkhangBTY/QuizMindWeb,['Google_gemini-2.5-flash']
27,cauryliz/ScreenMatchAlura,https://github.com/cauryliz/ScreenMatchAlura,['Google_gemini-2.0-flash-lite']
28,prgrms-aibe-devcourse/AIBE1-Project2-Team05-backend,https://github.com/prgrms-aibe-devcourse/AIBE1-Project2-Team05-backend,['Google_gemini-2.0-flash-001']
29,Trend-Now/Back-end,https://github.com/Trend-Now/Back-end,"['Google', 'gemini-2.5-flash-lite']"
30,sparkmig/ai-fullstack,https://github.com/sparkmig/ai-fullstack,['Google_embedding-001']
31,kusoroadeolu/SmartCommit,https://github.com/kusoroadeolu/SmartCommit,['Google_gemini-2.5-flash']
32,minherz/o11y-methods-screen-demo,https://github.com/minherz/o11y-methods-screen-demo,['Google_gemini-2.5-flash']
33,KauaZs/DivineMind,https://github.com/KauaZs/DivineMind,['Google_gemini-2.5-flash']
