,full_name,html_url,labels
0,emachipana/inv-araujo-api,https://github.com/emachipana/inv-araujo-api,"{'OpenAI': ['src/main/java/com/inversionesaraujo/api/config/OpenAIConfig.java', 'src/main/java/com/inversionesaraujo/api/business/service/impl/GptImpl.java']}"
1,QuasarByte/llm-codereview-sdk,https://github.com/QuasarByte/llm-codereview-sdk,{'OpenAI': ['src/main/java/com/quasarbyte/llm/codereview/sdk/model/parameter/LlmClient.java']}
2,AdamPavlik/BrizomAIDT,https://github.com/AdamPavlik/BrizomAIDT,"{'OpenAI': ['gpt-service/src/main/java/com/brizom/aidt/gptservice/config/GPTConfig.java', 'gpt-service/src/main/java/com/brizom/aidt/gptservice/service/DeepResearchService.java', 'gpt-service/src/main/java/com/brizom/aidt/gptservice/service/GPTService.java', 'gpt-service/src/main/java/com/brizom/aidt/gptservice/service/GPTSearchService.java']}"
3,minsun0714/dev-scoop,https://github.com/minsun0714/dev-scoop,"{'OpenAI': ['src/main/java/com/devscoop/api/extractor/TechKeywordExtractor.java', 'src/main/java/com/devscoop/api/config/OpenAIConfig.java']}"
4,martin-aghajanian/bookstore,https://github.com/martin-aghajanian/bookstore,"{'OpenAI': ['src/main/java/com/martin/bookstore/openai/service/OpenaiService.java', 'src/main/java/com/martin/bookstore/openai/config/OpenaiConfig.java']}"
5,eugenscobich/ai-junior-developer,https://github.com/eugenscobich/ai-junior-developer,"{'OpenAI': ['backend/src/main/java/ai/junior/developer/service/llm/assistant/OpenAIConfig.java', 'backend/src/main/java/ai/junior/developer/service/ThreadService.java']}"
6,PAIR-Systems-Inc/goodmem,https://github.com/PAIR-Systems-Inc/goodmem,"{'OpenAI': ['server/src/test/java/com/goodmem/embeddings/providers/openai/OpenAIBatchTransportTest.java', 'server/src/main/java/com/goodmem/llms/LLMInference.java', 'server/src/main/java/com/goodmem/llms/BaseLlmInference.java']}"
7,oglimmer/diceyvicy-dice-game,https://github.com/oglimmer/diceyvicy-dice-game,{'OpenAI': ['src/main/java/com/oglimmer/diceyvicy/AiModel.java']}
8,ReTrip-Dev/ReTrip-api,https://github.com/ReTrip-Dev/ReTrip-api,{'OpenAI': ['src/main/java/ssafy/retrip/config/OpenAiConfig.java']}
9,LeonQC/SmartFoodDeliveryServices,https://github.com/LeonQC/SmartFoodDeliveryServices,"{'OpenAI': ['foodie-server/src/main/java/com/chris/service/impl/RecommendServiceImpl.java', 'foodie-server/src/main/java/com/chris/config/OpenAIConfig.java']}"
10,artemkurylo/chat-completion,https://github.com/artemkurylo/chat-completion,"{'OpenAI': ['src/main/java/com/artemkurylo/chat_completion/ChatCompletionServiceImpl.java', 'src/main/java/com/artemkurylo/chat_completion/OpenAIClientConfiguration.java']}"
11,joaolucasbarboza/app-right-dose,https://github.com/joaolucasbarboza/app-right-dose,{'OpenAI': ['src/main/java/com/fema/tcc/config/ai/OpenAiConfig.java']}
12,syedwajihrizvi/jobee-backend,https://github.com/syedwajihrizvi/jobee-backend,{'OpenAI': ['src/main/java/com/rizvi/jobee/config/OpenAIConfig.java']}
13,s4kv/NutriCast,https://github.com/s4kv/NutriCast,"{'OpenAI': ['backend/src/main/java/com/cs3300g1/backend/services/OpenAIBarcodeService.java', 'backend/src/main/java/com/cs3300g1/backend/services/OpenAIChatService.java', 'backend/src/main/java/com/cs3300g1/backend/services/OpenAINutriMealService.java', 'backend/src/main/java/com/cs3300g1/backend/config/OpenAIConfig.java'], 'Google': ['backend/src/main/java/com/cs3300g1/backend/services/GeminiAnalyticsService.java', 'backend/src/main/java/com/cs3300g1/backend/config/GeminiAnalyticsConfig.java']}"
14,ReneRumetshofer/GrantScout,https://github.com/ReneRumetshofer/GrantScout,"{'OpenAI': ['backend/src/main/java/at/fhtw/grantscout/config/OpenAIConfig.java', 'backend/src/main/java/at/fhtw/grantscout/core/ChatService.java']}"
15,valykhin/assistant-ai-bot,https://github.com/valykhin/assistant-ai-bot,"{'OpenAI': ['src/main/java/ru/ivalykhin/assistant_ai/service/openai/OpenAIServiceImpl.java', 'src/main/java/ru/ivalykhin/assistant_ai/config/OpenAIClientConfig.java', 'src/test/java/ru/ivalykhin/assistant_ai/service/openai/OpenAIServiceTest.java']}"
16,artemkurylo/llm-as-judge,https://github.com/artemkurylo/llm-as-judge,"{'OpenAI': ['src/main/java/com/artemkurylo/llm_as_judge/judge/JudgeServiceImpl.java', 'src/main/java/com/artemkurylo/llm_as_judge/completion/OpenAIClientConfiguration.java']}"
17,Haemeok/Haemeok-backend,https://github.com/Haemeok/Haemeok-backend,"{'OpenAI': ['src/main/java/com/jdc/recipe_service/service/OpenAiClientService.java', 'src/main/java/com/jdc/recipe_service/config/OpenAIConfig.java'], 'Anthropic': ['src/main/java/com/jdc/recipe_service/config/AnthropicConfig.java']}"
18,kal-i/sanctum_backend,https://github.com/kal-i/sanctum_backend,"{'OpenAI': ['src/main/java/com/kali/sanctum/service/aipromptservice/OpenAiPromptService.java', 'src/main/java/com/kali/sanctum/config/OpenAIConfig.java']}"
