,id,name,full_name,html_url,description,language,created_at,stargazers_count,forks_count,open_issues_count,size,topics,license,owner_login,owner_type,archived
0,453313251,QAuxiliary,cinit/QAuxiliary,https://github.com/cinit/QAuxiliary,QNotified phoenix - To make OICQ great again,Java,2022-01-29 06:12:36+00:00,5282,389,245,8.632,"['oicq', 'qnotified', 'qq', 'tim', 'xposed', 'xposed-module']",other,cinit,User,False
1,445585860,dynamic-tp,dromara/dynamic-tp,https://github.com/dromara/dynamic-tp,"🔥🔥🔥轻量级动态线程池，内置监控告警功能，集成三方中间件线程池管理，基于主流配置中心（已支持Nacos、Apollo，Zookeeper、Consul、Etcd，可通过SPI自定义实现）。Lightweight dynamic threadpool, with monitoring and alarming functions, base on popular config centers (already support Nacos、Apollo、Zookeeper、Consul, can be customized through SPI).",Java,2022-01-07 16:35:27+00:00,4629,858,22,18.36,"['apollo', 'consul', 'dubbo', 'dynamic-threadpool', 'grpc', 'java', 'micrometer', 'monitor', 'nacos', 'rocketmq', 'spring', 'springboot', 'springcloud', 'thread', 'threadpool', 'threadpoolexecutor', 'zookeeper']",apache-2.0,dromara,Organization,False
2,447060287,paimon,apache/paimon,https://github.com/apache/paimon,Apache Paimon is a lake format that enables building a Realtime Lakehouse Architecture with Flink and Spark for both streaming and batch operations.,Java,2022-01-12 03:13:15+00:00,3033,1184,587,63.38,"['big-data', 'data-ingestion', 'flink', 'paimon', 'real-time-analytics', 'spark', 'streaming-datalake', 'table-store']",apache-2.0,apache,Organization,False
3,453905754,Amarok-Hider,deltazefiro/Amarok-Hider,https://github.com/deltazefiro/Amarok-Hider,Hide your private files and apps with a single click.,Java,2022-01-31 06:46:16+00:00,2369,81,46,4.5600000000000005,"['android', 'android-application', 'file-hider', 'hider', 'privacy-protection']",apache-2.0,deltazefiro,User,False
4,450549139,Nagram,NextAlone/Nagram,https://github.com/NextAlone/Nagram,The third-party Telegram android app.,Java,2022-01-21 15:47:24+00:00,2177,117,0,1631.951,[],gpl-3.0,NextAlone,User,False
5,447932278,mastodon-android,mastodon/mastodon-android,https://github.com/mastodon/mastodon-android,Official Android app for Mastodon,Java,2022-01-14 10:44:03+00:00,1913,308,398,48.158,"['android', 'mastodon']",gpl-3.0,mastodon,Organization,False
6,449114455,yas,nashtech-garage/yas,https://github.com/nashtech-garage/yas,"YAS: Yet Another Shop, a sample microservices project in Java",Java,2022-01-18 02:29:43+00:00,1870,546,71,72.133,"['docker', 'ecommerce', 'hacktoberfest', 'java', 'keycloak', 'kubernetes', 'microservices', 'sample-project', 'shop', 'spring-boot']",mit,nashtech-garage,Organization,False
7,443953724,twoyi,twoyi/twoyi,https://github.com/twoyi/twoyi,A lightweight Android container on Android,Java,2022-01-03 05:45:03+00:00,1769,264,26,4.393,"['android', 'twoyi', 'virtual']",mpl-2.0,twoyi,Organization,True
8,451267945,burp-awesome-tls,sleeyax/burp-awesome-tls,https://github.com/sleeyax/burp-awesome-tls,"Burp extension to evade TLS fingerprinting. Bypass WAF, spoof any browser.",Java,2022-01-24 00:30:26+00:00,1596,96,8,2.07,"['burp', 'burp-cloudflare-bypass', 'burp-extensions', 'burp-ja3', 'burp-suite', 'burp-waf', 'burpsuite', 'go', 'golang', 'ja3', 'ja3-fingerprint', 'java', 'tls', 'tls-fingerprint', 'utls']",gpl-3.0,sleeyax,User,False
9,444706560,JDumpSpider,whwlsfb/JDumpSpider,https://github.com/whwlsfb/JDumpSpider,HeapDump敏感信息提取工具,Java,2022-01-05 07:30:39+00:00,1580,144,1,0.646,"['heapdump', 'jvm', 'pentesting', 'spring-boot', 'web']",apache-2.0,whwlsfb,User,False
