,id,full_name,html_url,description,language,created_at,stargazers_count,open_issues_count,size,topics,license,owner_login,owner_type,archived,subscribers_count,network_count
0,671805269,yunsell/sketchbook,https://github.com/yunsell/sketchbook,,JavaScript,2023-07-28 07:13:26+00:00,0,0,12.559,[],,yunsell,User,False,1,0
1,962417625,expens1veee/RAG-REU,https://github.com/expens1veee/RAG-REU,,Python,2025-04-08 06:07:49+00:00,1,1,2.667,[],,expens1veee,User,False,1,0
2,942150374,athrael-soju/Qdrant-Neo4j-Ollama-Graph-Rag,https://github.com/athrael-soju/Qdrant-Neo4j-Ollama-Graph-Rag,,Python,2025-03-03 16:49:45+00:00,55,0,35.012,[],,athrael-soju,User,False,2,13
3,187650444,qsdfo/waveglow,https://github.com/qsdfo/waveglow,,Python,2019-05-20 13:54:23+00:00,1,2,0.433,[],bsd-3-clause,qsdfo,User,False,1,0
4,987614943,andresmoks720/MGRS,https://github.com/andresmoks720/MGRS,OCR,Python,2025-05-21 10:33:36+00:00,0,4,0.07200000000000001,[],,andresmoks720,User,False,1,0
5,938535772,AmeNetwork/aser,https://github.com/AmeNetwork/aser,"Aser is a lightweight, self-assembling AI Agent frame.",Python,2025-02-25 05:32:01+00:00,464,1,1.895,"['a2a-protocol', 'agent', 'agents', 'ai', 'ai-agent', 'ai-memory', 'aser', 'erc8004', 'llm', 'mcp', 'multi-agent', 'onchain-ai', 'rag', 'self-evolving-ai', 'text2sql', 'web3', 'workflow']",mit,AmeNetwork,Organization,False,3,30
6,958094217,Avilashj34/excelagent,https://github.com/Avilashj34/excelagent,,Python,2025-03-31 16:25:38+00:00,0,0,0.353,[],,Avilashj34,User,False,1,0
7,1068442361,isaroyston/DSA4213_Project,https://github.com/isaroyston/DSA4213_Project,Word Embedding Comparison project for BERTopic,Jupyter Notebook,2025-10-02 11:48:22+00:00,0,0,5.451,[],,isaroyston,User,False,0,0
8,738429128,SunilKumar-ugra/MultiPDF-Chat-App,https://github.com/SunilKumar-ugra/MultiPDF-Chat-App,"A Langchain app that allows you to chat with multiple PDFs    The MultiPDF Chat App is a Python application that allows you to chat with multiple PDF documents. You can ask questions about the PDFs using natural language, and the application will provide relevant responses based on the content of the documents.",Python,2024-01-03 07:55:23+00:00,1,0,0.011,[],mit,SunilKumar-ugra,User,False,1,0
9,951911500,MuthuMeenakshi-coder/mental-health-chatbot,https://github.com/MuthuMeenakshi-coder/mental-health-chatbot,,Python,2025-03-20 12:43:48+00:00,0,0,0.002,[],,MuthuMeenakshi-coder,User,False,1,0
10,683256681,BerriAI/litellm_playground_fe_template,https://github.com/BerriAI/litellm_playground_fe_template,,Python,2023-08-26 02:04:54+00:00,9,0,0.006,[],mit,BerriAI,Organization,False,1,5
11,696465854,RealOrxify/catalog,https://github.com/RealOrxify/catalog,playfab catalog puller,Python,2023-09-25 19:52:26+00:00,0,0,0.009000000000000001,[],,RealOrxify,User,False,1,0
12,239714835,mindspore-ai/mindspore,https://github.com/mindspore-ai/mindspore,"MindSpore is a new open source deep learning training/inference framework that could be used for mobile, edge and cloud scenarios.",C++,2020-02-11 08:43:48+00:00,4631,199,869.597,[],apache-2.0,mindspore-ai,Organization,False,149,747
