,fullname,html_url,tags
0,DeltaV3/Studying,https://github.com/DeltaV3/Studying,['Google_gemini-2.0-flash']
1,coelho-na/screensound,https://github.com/coelho-na/screensound,['Google_gemini-2.5-flash']
2,LeonardoScabora/Projeto_GalpaoCultural_back,https://github.com/LeonardoScabora/Projeto_GalpaoCultural_back,['Google_gemini-2.5-flash']
3,ZRnown/huanyushiback,https://github.com/ZRnown/huanyushiback,['Google_gemini-2.5-flash-preview-05-20']
4,x4ut15m/x-vuln,https://github.com/x4ut15m/x-vuln,['OpenAI_gpt-3.5-turbo']
5,D3ICIDE/Project-AMADEUS,https://github.com/D3ICIDE/Project-AMADEUS,['Google_gemini-2.5-flash']
6,NutriCheck-Dev/nutricheck-backend,https://github.com/NutriCheck-Dev/nutricheck-backend,['Google_gemini-2.5-flash']
7,igutisan/FitnessApp-MicroServicios,https://github.com/igutisan/FitnessApp-MicroServicios,['Google_gemini-2.5-flash-preview-05-20']
8,mzattera/predictive-powers,https://github.com/mzattera/predictive-powers,['OpenAI_dall-e-2']
9,orionrich1/codemoa,https://github.com/orionrich1/codemoa,['Google_gemini-2.5-flash']
10,m-marini/wheellyj,https://github.com/m-marini/wheellyj,"['OpenAI', 'gpt-4o-mini']"
11,2025-DSWU-CS-FP/EYEDIA_BE,https://github.com/2025-DSWU-CS-FP/EYEDIA_BE,"['OpenAI', 'gpt-4o-mini-tts']"
12,shienka07/boot-sunflower,https://github.com/shienka07/boot-sunflower,['Google_gemini-2.0-flash']
13,kal-i/sanctum_backend,https://github.com/kal-i/sanctum_backend,['OpenAI_gpt-4o-mini']
14,1bred0c/mindmap-ai-backend,https://github.com/1bred0c/mindmap-ai-backend,['Google_gemini-2.0-flash-exp']
15,Saksham-Prakash/tech_CHATBOT,https://github.com/Saksham-Prakash/tech_CHATBOT,['Google_gemini-2.0-flash']
16,TikiTaka-TeamProject/BapZip,https://github.com/TikiTaka-TeamProject/BapZip,['Google_gemini-2.5-flash']
17,soheeGit/titan-thoughts,https://github.com/soheeGit/titan-thoughts,['Google_gemini-2.0-flash']
18,kisutsusu/jadx-gpt,https://github.com/kisutsusu/jadx-gpt,['OpenAI_deepseek-chat']
19,microsoft/Generative-AI-for-beginners-java,https://github.com/microsoft/Generative-AI-for-beginners-java,['OpenAI_gpt-4.1-nano']
20,ibrahimsohail077/sprintly_app,https://github.com/ibrahimsohail077/sprintly_app,"['OpenAI', 'gpt-4.1-nano']"
21,mercer2511/screenmatch,https://github.com/mercer2511/screenmatch,['Google_gemini-2.0-flash-lite']
22,patrickbosco07/screensound,https://github.com/patrickbosco07/screensound,['Google_gemini-2.5-flash']
23,eleuteriovargas/SpringBoot-sreenmatch,https://github.com/eleuteriovargas/SpringBoot-sreenmatch,['Google_gemini-2.0-flash-lite']
24,gratisreise/rebook-book-service,https://github.com/gratisreise/rebook-book-service,['Google_gemini-2.0-flash-lite']
25,laucha12/designPatterns,https://github.com/laucha12/designPatterns,['Google_gemini-2.0-flash-001']
26,OsmelMdz/screenmatch-v2-spring,https://github.com/OsmelMdz/screenmatch-v2-spring,['Google_gemini-2.0-flash-lite']
27,gwenneg/hackathon-prompt-tuner,https://github.com/gwenneg/hackathon-prompt-tuner,"['OpenAI', 'gpt-4o', 'gemini-2.5-flash', 'claude-opus-4-20250514']"
