,id,full_name,html_url,description,language,created_at,stargazers_count,open_issues_count,size,topics,license,owner_login,owner_type,archived,subscribers_count,network_count
0,931114744,iadsantos/SetupOrion,https://github.com/iadsantos/SetupOrion,,Shell,2025-02-11 18:34:31+00:00,0,0,13.34,[],mit,iadsantos,User,False,1,0
1,667308656,SUETAK/connect-service,https://github.com/SUETAK/connect-service,,Go,2023-07-17 08:05:37+00:00,0,0,0.22,[],,SUETAK,User,False,1,0
2,269511564,strawberry-tools/strawberry-v0,https://github.com/strawberry-tools/strawberry-v0,"Strawberry, the main ingredient in your JAM stack! It's fast Static Site Generator, soft forked from Hugo.",Go,2020-06-05 02:24:04+00:00,3,17,107.948,[],apache-2.0,strawberry-tools,Organization,False,3,1
3,985578768,easygoingbl/auditlimit,https://github.com/easygoingbl/auditlimit,内容审核及速率限制服务,Go,2025-05-18 04:24:33+00:00,26,0,0.011,[],,easygoingbl,User,False,1,0
4,1084960338,tahmazidik/LLM-Assistent,https://github.com/tahmazidik/LLM-Assistent,,Go,2025-10-28 11:58:49+00:00,0,0,0.012,[],,tahmazidik,User,False,0,0
5,827061092,gonka-ai/gonka,https://github.com/gonka-ai/gonka,Gonka AI Compute,Jupyter Notebook,2024-07-11 00:20:27+00:00,128,53,191.772,[],other,gonka-ai,Organization,False,12,20
6,1030328285,Sakshamnayyar/auto-job-tracker,https://github.com/Sakshamnayyar/auto-job-tracker,,Go,2025-08-01 13:03:03+00:00,2,0,0.058,[],,Sakshamnayyar,User,False,0,3
7,855744383,imrenagi/aiagent-from-scratch,https://github.com/imrenagi/aiagent-from-scratch,,Jupyter Notebook,2024-09-11 11:55:28+00:00,22,0,0.558,[],,imrenagi,User,False,1,8
8,314730010,AOSPK/build_blueprint,https://github.com/AOSPK/build_blueprint,,Go,2020-11-21 04:11:52+00:00,0,0,2.243,[],apache-2.0,AOSPK,Organization,False,1,0
9,1022685674,lucas11222/helpers-go,https://github.com/lucas11222/helpers-go,Helpers Go is a custom backend for the helpers app build in Go (the main one uses python). This is for practicing Go.,Go,2025-07-19 15:54:01+00:00,0,0,0.024,[],mit,lucas11222,User,False,0,0
10,826427933,Plataforma-Simplou/openai,https://github.com/Plataforma-Simplou/openai,OpenAI API Library,Go,2024-07-09 17:30:42+00:00,0,0,5.796,[],mit,Plataforma-Simplou,Organization,False,0,0
11,1028876785,Kad-19/group3-g65-blog-starter-project,https://github.com/Kad-19/group3-g65-blog-starter-project,,Go,2025-07-30 07:35:28+00:00,0,0,0.245,[],,Kad-19,User,False,0,1
12,962038392,benKapl/cvmaker,https://github.com/benKapl/cvmaker,EN COURS - Générateur de CV d'une page adapté à toute offre d'emploi,Go,2025-04-07 14:53:51+00:00,1,0,11.439,"['ai', 'resume-builder']",,benKapl,User,False,1,0
13,227863372,Blaze-AOSP/build_blueprint,https://github.com/Blaze-AOSP/build_blueprint,,Go,2019-12-13 15:00:02+00:00,0,0,4.737,[],apache-2.0,Blaze-AOSP,Organization,False,1,0
14,886481961,Weekend-Project-WKP/workout-discord-bot,https://github.com/Weekend-Project-WKP/workout-discord-bot,workout-discord-bot,Go,2024-11-11 03:47:47+00:00,0,1,0.106,[],mit,Weekend-Project-WKP,Organization,False,2,0
15,1077691462,viktorprogger/mcp-memory,https://github.com/viktorprogger/mcp-memory,,Go,2025-10-16 15:46:49+00:00,1,0,0.026000000000000002,[],,viktorprogger,User,False,0,0
16,1030729445,mark3labs/flyt-project-template,https://github.com/mark3labs/flyt-project-template,,Go,2025-08-02 07:38:52+00:00,2,0,0.021,[],,mark3labs,Organization,False,0,0
17,1025546900,nzb3/langchaingo,https://github.com/nzb3/langchaingo,,Go,2025-07-24 12:22:30+00:00,0,0,43.655,[],mit,nzb3,User,False,0,0
18,881152939,lunarianss/Luna,https://github.com/lunarianss/Luna,"Luna🌛  is an open-source platform for building AI applications ⚡️, combine LLMOps to streamline the development of generative AI solutions.",Go,2024-10-31 01:56:31+00:00,1,0,4.5760000000000005,[],apache-2.0,lunarianss,User,False,1,0
19,919723519,andlaurentino/gocore,https://github.com/andlaurentino/gocore,"Go Core is a reusable library of common services designed for my personal Go projects. It follows the Dependency Inversion Principle (DIP) to promote flexibility, scalability, and reduced coupling in application design.",Go,2025-01-20 22:19:51+00:00,0,0,0.016,[],mit,andlaurentino,User,False,1,0
20,1020194397,ksred/remember-me-mcp,https://github.com/ksred/remember-me-mcp,A local memory MCP server built for Claude Desktop,Go,2025-07-15 13:39:04+00:00,10,0,0.23600000000000002,[],,ksred,User,False,1,0
21,895178324,masahiro331/aibuilder,https://github.com/masahiro331/aibuilder,,Go,2024-11-27 17:44:48+00:00,0,0,0.011,[],,masahiro331,User,False,1,0
22,745408860,yzw7489757/feishu-chatgpt,https://github.com/yzw7489757/feishu-chatgpt,,Go,2024-01-19 09:20:45+00:00,0,0,0.971,[],gpl-3.0,yzw7489757,User,False,1,0
23,994348286,taskvanguard/taskvanguard,https://github.com/taskvanguard/taskvanguard,"TaskVanguard - LLM / AI Wrapper for TaskWarrior via API (OpenAI, Deepseek etc.)",Go,2025-06-01 18:42:13+00:00,26,0,4.138,"['ai', 'cli', 'golang', 'llm', 'taskwarrior']",agpl-3.0,taskvanguard,Organization,False,0,2
24,219828345,maldini03/android_build_blueprint,https://github.com/maldini03/android_build_blueprint,,Go,2019-11-05 18:57:50+00:00,0,0,2.279,[],apache-2.0,maldini03,User,False,1,1
25,900658193,sidedotdev/sidekick,https://github.com/sidedotdev/sidekick,,Go,2024-12-09 08:27:06+00:00,6,10,23.292,[],agpl-3.0,sidedotdev,Organization,False,0,3
26,443290262,BetaGoRobot/BetaGo,https://github.com/BetaGoRobot/BetaGo,BetaGo: A Multi-Platform Robot,Go,2021-12-31 07:57:45+00:00,7,5,145.549,[],mit,BetaGoRobot,Organization,False,1,1
27,931230827,antonmedv/howto,https://github.com/antonmedv/howto,A terminal helper for querying LLM,Go,2025-02-11 23:39:33+00:00,71,3,0.512,"['llm', 'terminal']",mit,antonmedv,User,False,2,2
28,1010043224,hmluck83/txlens-srv,https://github.com/hmluck83/txlens-srv,Transaction Server,Go,2025-06-28 08:12:28+00:00,0,0,0.138,[],lgpl-2.1,hmluck83,User,False,0,0
29,928734661,BooRuleDie/FA2FO,https://github.com/BooRuleDie/FA2FO,Fuck Around to Find Out,Go,2025-02-07 06:21:39+00:00,0,0,3.669,[],,BooRuleDie,User,False,1,0
30,659272974,AndrewKroger/zep-oRpE,https://github.com/AndrewKroger/zep-oRpE,,Go,2023-06-27 13:36:13+00:00,0,0,7.994,[],apache-2.0,AndrewKroger,User,False,1,0
31,1013283029,whs24/2025-Python,https://github.com/whs24/2025-Python,2025夏-程序设计实训 Python部分 存档,Go,2025-07-03 16:35:11+00:00,2,0,16.813,[],,whs24,User,False,0,0
32,936817871,google-gemini/api-examples,https://github.com/google-gemini/api-examples,Example code for the Gemini API,JavaScript,2025-02-21 18:34:29+00:00,94,25,45.076,[],apache-2.0,google-gemini,Organization,False,10,44
33,955021322,deanxv/chutesAI2api,https://github.com/deanxv/chutesAI2api,,Go,2025-03-26 01:35:42+00:00,94,1,2.488,[],gpl-3.0,deanxv,User,False,2,30
34,873681491,Sumit189/go-bandersnatch,https://github.com/Sumit189/go-bandersnatch,,Go,2024-10-16 14:41:25+00:00,0,0,0.003,[],,Sumit189,User,False,1,0
35,717670649,lijiahui1993/feishu-chatgpt-1.0,https://github.com/lijiahui1993/feishu-chatgpt-1.0,,Go,2023-11-12 07:25:32+00:00,0,0,0.967,[],gpl-3.0,lijiahui1993,User,False,1,0
36,875489015,hu-hicoder/taskEcho,https://github.com/hu-hicoder/taskEcho,,C++,2024-10-20 05:39:30+00:00,0,5,0.776,[],,hu-hicoder,Organization,False,1,1
37,224040890,TitaniumOS/build_blueprint,https://github.com/TitaniumOS/build_blueprint,,Go,2019-11-25 21:02:31+00:00,0,0,1.955,[],apache-2.0,TitaniumOS,Organization,False,1,0
38,620092369,xnth97/how,https://github.com/xnth97/how,"Copilot for your terminal, powered by Azure Cognitive Services",Go,2023-03-28 02:28:31+00:00,2,0,0.306,"['azure-cognitive-services', 'chatgpt', 'cli', 'copilot', 'shell', 'terminal']",mit,xnth97,User,False,1,0
39,823653505,cottongeeks/podscript,https://github.com/cottongeeks/podscript,Generate podcast transcripts using language and speech-to-text models,TypeScript,2024-07-03 12:53:48+00:00,172,9,17.209,"['llm', 'stt', 'transcription']",mit,cottongeeks,Organization,False,2,9
40,330187479,StyxProject/build_blueprint,https://github.com/StyxProject/build_blueprint,,Go,2021-01-16 15:01:12+00:00,0,0,3.483,[],apache-2.0,StyxProject,Organization,False,1,0
41,689513372,Hain2000/bitcask,https://github.com/Hain2000/bitcask,kv数据库，基于bitcask和raft,Go,2023-09-10 03:37:23+00:00,4,0,1.5779999999999998,[],,Hain2000,User,False,1,1
42,926415423,stedyyulius/ai-agent,https://github.com/stedyyulius/ai-agent,,Go,2025-02-03 08:02:20+00:00,0,0,0.017,[],,stedyyulius,User,False,1,0
43,686808933,tomchan123/go-news-mailer,https://github.com/tomchan123/go-news-mailer,A simple Go news delivery service over Email,Go,2023-09-04 01:34:16+00:00,0,0,0.127,[],,tomchan123,User,False,1,0
44,952582406,EazyAutodelete/ai-applications,https://github.com/EazyAutodelete/ai-applications,🤖 Fill example channels with ai content,Go,2025-03-21 14:20:16+00:00,0,0,0.019,"['ai', 'placeholder', 'template']",,EazyAutodelete,Organization,False,0,0
45,1047204345,mizzy/rigel,https://github.com/mizzy/rigel,AI Coding Agent,Go,2025-08-29 23:22:50+00:00,6,0,60.119,[],mit,mizzy,User,False,0,3
46,979975693,LukiaschenkoDmitriy/TermAI,https://github.com/LukiaschenkoDmitriy/TermAI,Terminal with AI execute commands,Go,2025-05-08 11:14:11+00:00,0,0,0.048,[],,LukiaschenkoDmitriy,User,False,1,0
47,743481381,KaynHvH/achievify,https://github.com/KaynHvH/achievify,,Go,2024-01-15 10:31:29+00:00,3,0,0.305,[],mit,KaynHvH,User,False,1,0
48,1026294012,djblackett/hackathon,https://github.com/djblackett/hackathon,,Go,2025-07-25 16:26:45+00:00,4,0,7.082,[],,djblackett,User,False,0,0
49,1028015832,zideajang/tinyChaingo,https://github.com/zideajang/tinyChaingo,go 语言版本 tinyChain,Go,2025-07-28 22:31:29+00:00,1,0,0.01,[],,zideajang,User,False,0,0
50,983317864,Gerifield/hAIry-botter,https://github.com/Gerifield/hAIry-botter,"✨ Smart bots everywhere, let's have some magic ✨",Go,2025-05-14 07:51:29+00:00,0,5,0.177,['hacktoberfest'],gpl-3.0,Gerifield,User,False,1,0
51,887187150,scriptkidakash81/example,https://github.com/scriptkidakash81/example,,Go,2024-11-12 10:13:04+00:00,0,6,1.437,[],bsd-3-clause,scriptkidakash81,User,False,1,0
52,950717797,Coeeter/cmdhelper,https://github.com/Coeeter/cmdhelper,,Go,2025-03-18 15:27:17+00:00,0,0,0.02,[],,Coeeter,User,False,1,0
53,1005137774,TheMarstonConnell/plex-suggestions,https://github.com/TheMarstonConnell/plex-suggestions,plex movie suggester using OpenAI,Go,2025-06-19 18:22:46+00:00,1,0,0.019,"['openai', 'plex', 'radarr', 'suggestions']",,TheMarstonConnell,User,False,0,0
54,348099334,ideacrew/crm_gateway,https://github.com/ideacrew/crm_gateway,,Go,2021-03-15 19:34:37+00:00,0,2,38.928,[],,ideacrew,Organization,False,17,0
55,945900870,egobogo/aiagents,https://github.com/egobogo/aiagents,,Go,2025-03-10 09:57:16+00:00,0,0,0.34700000000000003,[],,egobogo,User,False,1,0
56,622769091,deployment-io/deployment-runner-kit,https://github.com/deployment-io/deployment-runner-kit,,Go,2023-04-03 02:53:29+00:00,0,0,0.111,[],mit,deployment-io,Organization,False,1,1
57,522218622,apache/dubbo-go-pixiu-samples,https://github.com/apache/dubbo-go-pixiu-samples,Apache dubbo,Go,2022-08-07 13:20:16+00:00,19,1,37.601,[],apache-2.0,apache,Organization,False,55,29
58,968720201,wirnat/cs-ai,https://github.com/wirnat/cs-ai,Framework for Customer Service AI using Super Model ,Go,2025-04-18 15:53:32+00:00,0,0,0.152,[],,wirnat,User,False,1,0
59,949973282,MrFruchard/social-network,https://github.com/MrFruchard/social-network,,TypeScript,2025-03-17 12:37:27+00:00,0,0,6.199,[],,MrFruchard,User,False,1,0
60,918016950,benjaminheng/llm-diagrams,https://github.com/benjaminheng/llm-diagrams,Generate plantuml diagrams from text descriptions using LLMs,Go,2025-01-17 04:50:37+00:00,0,0,0.005,[],,benjaminheng,User,False,1,0
61,380349228,erkexzcx/tobot,https://github.com/erkexzcx/tobot,"Advanced tob.lt bot, written in Go.",Go,2021-06-25 20:39:27+00:00,0,0,11.199,"['autokelejas', 'bot', 'go', 'openai-api', 'tob']",mit,erkexzcx,User,False,1,1
62,1073235261,sokool/ion,https://github.com/sokool/ion,,Go,2025-10-09 20:06:55+00:00,0,0,0.037,[],,sokool,User,False,0,0
63,409358885,reinhurd/task-monster-rpg,https://github.com/reinhurd/task-monster-rpg,"Go pet project about self-motiovation, task completion and internet parsing",Go,2021-09-22 21:17:14+00:00,0,0,0.167,[],,reinhurd,User,False,1,1
64,72710703,BenzoRoms/build_blueprint,https://github.com/BenzoRoms/build_blueprint,,Go,2016-11-03 05:08:22+00:00,0,0,1.37,[],apache-2.0,BenzoRoms,Organization,False,1,0
65,756355547,alvaroglvn/ravensfield-collection,https://github.com/alvaroglvn/ravensfield-collection,,Go,2024-02-12 14:04:17+00:00,0,0,46.653,[],,alvaroglvn,User,False,1,0
66,178310824,iscle/OrangePi_4G-IOT_Android_8.1_BSP,https://github.com/iscle/OrangePi_4G-IOT_Android_8.1_BSP,"Mediatek MT6737 Android 8.1 BSP (For Orange Pi 4G IOT) THIS REPOSITORY IS NOT COMPLETE AND WILL NEVER BE, DON'T TRY TO BUILD IT!",,2019-03-29 01:39:27+00:00,41,1,2267.128,[],,iscle,User,False,1,33
67,632156703,hilyas/GPTeur,https://github.com/hilyas/GPTeur,A CLI tools to interact with GPT models,Go,2023-04-24 20:38:46+00:00,0,0,11.33,[],other,hilyas,User,False,1,0
68,473047623,sacloud/services,https://github.com/sacloud/services,高レベルAPIライブラリ(サービス)のための共通ライブラリ/ツール ,Go,2022-03-23 05:23:12+00:00,0,7,0.129,[],apache-2.0,sacloud,Organization,False,1,1
69,1000941685,michaelpmurphy14/fabric-telemetry-project,https://github.com/michaelpmurphy14/fabric-telemetry-project,,Go,2025-06-12 14:58:03+00:00,1,0,146.026,[],,michaelpmurphy14,User,False,0,0
70,820801610,siuyin/aigogo,https://github.com/siuyin/aigogo,,Go,2024-06-27 07:54:34+00:00,0,1,1.007,[],,siuyin,User,False,1,1
71,1004289377,xyzbit/ino,https://github.com/xyzbit/ino,This is a knowledge system that provides all the contexts that the prompt need to be supplemented,Go,2025-06-18 11:57:32+00:00,2,0,109.513,"['ai', 'context-engineering', 'eino', 'golang', 'prompt-engineering', 'rag']",apache-2.0,xyzbit,Organization,False,0,0
72,820310163,hust-open-atom-club/OpenSift,https://github.com/hust-open-atom-club/OpenSift,Filter out critical open source software with our metrics,Go,2024-06-26 08:11:13+00:00,37,17,124.997,[],apache-2.0,hust-open-atom-club,Organization,False,3,7
73,1025009924,alantheprice/ledit,https://github.com/alantheprice/ledit,Ledit is a command-line interface (CLI) tool that integrates Large Language Models (LLMs) into software development workflows,Go,2025-07-23 15:23:08+00:00,1,0,36.943,[],mit,alantheprice,User,False,1,0
