,id,full_name,html_url,description,language,created_at,stargazers_count,open_issues_count,size,topics,license,owner_login,owner_type,archived,subscribers_count,network_count
0,636718985,dddadan/chat-gpt-wechat,https://github.com/dddadan/chat-gpt-wechat,chatgpt微信聊天小程序。java编写服务器，实现chatgpt接口的调用，微信小程序用于聊天。二者基于webSocket进行通信,Java,2023-05-05 13:38:55+00:00,62,11,9.441,[],apache-2.0,dddadan,User,False,1,15
1,982645228,yulate/mcp-deepseek-demo,https://github.com/yulate/mcp-deepseek-demo,这个项目展示了如何使用 Spring AI 框架与 DeepSeek 大语言模型集成，并通过 MCP (Model Context Protocol) 实现工具调用功能。通过这个演示项目，开发者可以学习如何构建和部署一个具有文件系统工具能力的 AI 应用,Java,2025-05-13 07:44:02+00:00,7,0,0.011,[],,yulate,User,False,1,1
2,929005731,zCriminalArtist/RecipeGenerator,https://github.com/zCriminalArtist/RecipeGenerator,The smart AI-powered recipe generator app that uses AI to generate recipes instantly using already available ingredients,TypeScript,2025-02-07 16:28:20+00:00,0,0,10.026,[],,zCriminalArtist,User,False,1,0
3,953449973,JavaKhanStudio/Spring_Exemple_ImageGeneration,https://github.com/JavaKhanStudio/Spring_Exemple_ImageGeneration,,Java,2025-03-23 11:57:28+00:00,0,0,0.022,[],,JavaKhanStudio,User,False,1,0
4,1054576733,shuzim/FitnessLifeWeb,https://github.com/shuzim/FitnessLifeWeb,,Java,2025-09-11 03:35:59+00:00,0,0,0.886,[],,shuzim,User,False,0,0
5,996174010,hongjunpyo123/J.Genie-project,https://github.com/hongjunpyo123/J.Genie-project,,Mustache,2025-06-04 15:02:48+00:00,0,0,0.643,[],,hongjunpyo123,User,False,0,0
6,735532794,hobyleo/spring-framework-5.3.10,https://github.com/hobyleo/spring-framework-5.3.10,Spring v5.3.10 - Personal Compile Repository,Java,2023-12-25 09:03:49+00:00,0,0,12.835,[],apache-2.0,hobyleo,User,False,1,0
7,1075012150,mayanksh1682/multi-agent,https://github.com/mayanksh1682/multi-agent,,Java,2025-10-12 22:23:57+00:00,0,0,0.004,[],,mayanksh1682,User,False,0,0
8,920573805,csa67/AIRecipeGenerator-backend,https://github.com/csa67/AIRecipeGenerator-backend,,Java,2025-01-22 11:51:52+00:00,1,0,0.058,[],,csa67,User,False,1,0
9,885645291,Andy-Huangg/Guess-Who,https://github.com/Andy-Huangg/Guess-Who,SOFTENG 206 project.,Java,2024-11-09 02:45:32+00:00,0,0,57.011,[],,Andy-Huangg,User,False,1,0
10,647151338,yichuancc/elevencc-labs,https://github.com/yichuancc/elevencc-labs,,Java,2023-05-30 07:05:20+00:00,0,0,10.414,[],,yichuancc,User,False,1,0
11,1048768855,today-is-first/kkori,https://github.com/today-is-first/kkori,🎤 AI 기반 실시간 면접 연습 플랫폼,Java,2025-09-02 02:04:42+00:00,0,1,7.032,[],,today-is-first,User,False,0,0
